"account_id";"account_currency";"exclude from invoice";"tap_code";"Tap name";"Discount (%)";"Markup (%)";"Account name";"Remove Discount for bill cycle";"Comments"
"186,564,506";"SEK";"YES";;;;"1";"A Better Company AB";;;
"223,197,705";"EUR";"YES";;;;"1";"A&K Groep";;;
"168,935,206";"EUR";"YES";;;;"1";"Aartesys AG";;;
"186,038,406";"SEK";"YES";;;;"1";"AB Gavlegårdarna";;;
"180,979,606";"SEK";"YES";;;;"1";"AB SKF";;;
"186,418,406";"SEK";"YES";;;;"1";"AB Tingstad Papper";;;
"100,117,406";"SEK";"YES";;;;"1";"ACTE Solutions AB";;;
"231,442,805";"SEK";"YES";;;;"1";"Actemium Electro AB";;;
"231,081,505";"EUR";;;;"1";"1";"ACTIA ITALIA SRL";;;
"123,717,006";"SEK";"YES";;;;"1";"AddMobile";;;
"231,043,605";"SEK";"YES";;;;"1";"ADDMOBILE AB - Legacy";;;
"231,427,905";"EUR";"YES";;;;"1";"Yobiiq B.V.";;;
"163,523,405";"EUR";"YES";;;;"1";"AHT Cooling Systems GmbH";;;
"231,345,205";"SEK";"YES";;;;"1";"Airconnect AB";;;
"231,106,105";"EUR";"YES";;;;"1";"Alert House ApS";;;
"186,269,106";"EUR";"YES";;;;"1";"Alfa Logistika d.o.o.";;;
"122,712,906";"EUR";"YES";;;;"1";"Amcrest Industries LLC";;;
"167,231,606";"EUR";"YES";;;;"1";"Amt der Steiermärkischen. Landesregierung";;;
"183,576,106";"SEK";"YES";;;;"1";"APM Terminals Gothenburg AB";;;
"231,080,505";"EUR";"YES";;;;"1";"AQUALINK d.o.o.";;;
"231,117,705";"EUR";"YES";;;;"1";"AREALCONTROL GmbH";;;
"161,881,706";"EUR";"YES";;;;"1";"Arkessa Ltd";;;
"154,644,305";"SEK";"YES";;;;"1";"ASFT AB";;;
"117,128,606";"EUR";"YES";;;;"1";"Ask Community Systems B.V";;;
"177,585,006";"EUR";"YES";;;;"1";"Avus Services GmbH";;;
"186,462,606";"SEK";"YES";;;;"1";"Axel Group AB";;;
"186,011,006";"EUR";"YES";;;;"1";"Axians ICT B.V.";;;
"185,967,706";"EUR";"YES";;;;"1";"AXIONET IoT SRL";;;
"186,518,806";"SEK";"YES";;;;"1";"B Meters Nordic AB";;;
"142,475,705";"EUR";"YES";;;;"1";"B.A.S. Beheer B.V.";;;
"231,138,805";"EUR";;;;"1";"1";"CloudClevr Limited";;;
"181,097,206";"EUR";"YES";;;;"1";"Barking OÜ";;;
"231,269,705";"EUR";"YES";;;;"1";"BBrain BV";;;
"231,462,105";"SEK";"YES";;;;"1";"Beezum AB";;;
